source,target
YER136W,YNL015W
YER136W,YNL104C
YER136W,YKR066C
YER136W,YLR420W
YER136W,YKL024C
YER136W,YKL033W-A
YER136W,YHR087W
YER136W,YJL054W
YER136W,YOR089C
YER136W,YBR035C
YER136W,YKR014C
YER136W,YML001W
YER136W,YFL038C
YER136W,YGL210W
YER136W,YBR264C
YER136W,YFL005W
YHR087W,YNL104C
YHR087W,YNL117W
YHR087W,YLR420W
YHR087W,YNL015W
YHR087W,YKL024C
YHR087W,YKR066C
YHR087W,YJL054W
YHR087W,YJR148W
YHR087W,YBR035C
YHR087W,YBR286W
YDR035W,YOR285W
YDR035W,YNL015W
YDR035W,YNL117W
YDR035W,YKL024C
YDR035W,YKR066C
YDR035W,YER136W
YDR035W,YHR087W
YDR035W,YBR035C
YDR035W,YDR304C
YDR035W,YBR249C
YDR035W,YML107C
YDR304C,YOR239W
YDR304C,YOR285W
YDR304C,YNL117W
YDR304C,YNL134C
YDR304C,YLR420W
YDR304C,YNL015W
YDR304C,YKL024C
YDR304C,YKR066C
YDR304C,YJL055W
YDR304C,YJR148W
YDR304C,YER136W
YDR304C,YHR087W
YDR304C,YBR035C
YBR035C,YNL134C
YBR035C,YOR323C
YBR035C,YER080W
YBR035C,YNL117W
YBR149W,YOR323C
YBR149W,YPL111W
YBR149W,YOR239W
YBR149W,YOR285W
YBR149W,YNL134C
YBR149W,YNR034W-A
YBR149W,YNL079C
YBR149W,YNL117W
YBR149W,YMR276W
YBR149W,YNL015W
YBR149W,YKR066C
YBR149W,YLR420W
YBR149W,YKL067W
YBR149W,YKL117W
YBR149W,YJR148W
YBR149W,YKL024C
YBR149W,YJL055W
YBR149W,YJL167W
YBR149W,YER136W
YBR149W,YHR087W
YBR149W,YDR304C
YBR149W,YER080W
YBR149W,YBR286W
YBR149W,YDR035W
YBR149W,YBR035C
YBR149W,YBR222C
YNR010W,YPL042C
YNR010W,YPR070W
YNR010W,YPR168W
YNR010W,YOL135C
YNR010W,YOR174W
YNR010W,YOL051W
YBL036C,YOR285W
YBL036C,YPL111W
YBL036C,YNL015W
YBL036C,YNL117W
YBL036C,YKR066C
YBL036C,YLR420W
YBL036C,YJR148W
YBL036C,YKL024C
YBL036C,YHR087W
YBL036C,YJL055W
YBL036C,YDR304C
YBL036C,YER136W
YBL036C,YBR149W
YBL036C,YDR035W
YBL036C,YBR035C
YBL033C,YPR172W
YPR172W,YLR456W
YLL002W,YNL246W
YLL002W,YJL209W
YBL031W,YLL002W
YBL031W,YLR427W
YPL211W,YPR169W
