source,target
YBR112C,YCR096C
YCR084C,YCR096C
YKR099W,YGL242C
YFL018C,YGL081W
YDR074W,YAR066W
YHR166C,YBR270C
YGR274C,YAL034C
YLR433C,YDL186W
YLR182W,YOL131W
YPR119W,YHR035W
YPL204W,YBR225W
YJR045C,YMR102C
YKL182W,YGL081W
YJL203W,YBL067C
YER032W,YLR456W
YJR086W,YAR061W
YHR005C,YHL026C
YNL189W,YFL061W
YNL189W,YNR069C
YNL189W,YJL218W
YNL189W,YER010C
YNL189W,YCR076C
YNL189W,YPR089W
YOL108C,YMR317W
YGL115W,YJR083C
YBR109C,YAR064W
YIL061C,YFR039C
YCR101C,YHL042W
YFR039C,YNL006W
YGR203W,YCR099C
YOL004W,YKL072W
YOL004W,YAL034C
YJR022W,YHR035W
YJR022W,YNL050C
YJR022W,YEL023C
YJR022W,YGL117W
YCR077C,YBR270C
YEL015W,YBL066C
YHR034C,YLR241W
YHR035W,YLL013C
YHR035W,YLR259C
YNL118C,YCR076C
YNL118C,YKL133C
YNL118C,YOR093C
YER112W,YIL029C
YNR053C,YLR456W
YDL161W,YOR111W
YIR009W,YLR456W
YIR009W,YNL165W
YDL001W,YDL133W
YLR456W,YIL144W
YLR456W,YKR084C
YLR456W,YPR172W
YBL016W,YIL169C
YOR232W,YMR147W
YDR388W,YJR083C
YDR388W,YJR115W
YDR388W,YCL036W
YLR319C,YGL015C
YCL040W,YBL036C
YCL040W,YGL081W
YCL027W,YKL105C
YOR181W,YNR065C
YDL165W,YLR125W
YHR041C,YER066W
YHR041C,YPR203W
YER022W,YGL261C
YER022W,YMR118C
YER022W,YMR181C
YER022W,YMR244W
YER022W,YNR071C
YMR236W,YBR270C
YGL112C,YIL175W
YBR198C,YAL034C
YPR086W,YPR157W
YPR086W,YOR114W
YPR086W,YAR066W
YPR086W,YGR294W
YPR086W,YGR053C
YPR086W,YFL042C
YML085C,YPL150W
YPR110C,YFL042C
YGL070C,YAR064W
YGL070C,YBR157C
YGL070C,YDL183C
YGL070C,YDR286C
YGL070C,YER039C
YOR207C,YPR015C
YJR063W,YBR220C
YJR063W,YBR219C
YOL086C,YAL034C
YGR005C,YNL092W
YOR128C,YPR084W
YLR386W,YGR066C
YOR174W,YMR102C
YGL127C,YER184C
YFL042C,YMR303C
YLR291C,YCR076C
YBR217W,YLR031W
YBL078C,YOL083W
YKL130C,YOL073C
YKL130C,YGR066C
YKL130C,YCL033C
YPL161C,YLR049C
YPL161C,YER158C
YLR049C,YLR191W
YLR049C,YAL054C
YLR267W,YDR099W
YLR267W,YDR281C
YLR267W,YAL062W
YLR267W,YDR328C
YMR055C,YGR153W
YMR055C,YFL061W
YER143W,YJR141W
YER143W,YNR071C
YGR153W,YLR295C
YDL132W,YLR352W
YDL017W,YKL039W
YDL017W,YCR050C
YDL017W,YEL023C
YDL017W,YFR057W
YDR328C,YLR352W
YLR128W,YGR237C
YEL023C,YML109W
YEL023C,YMR104C
YBR274W,YLR152C
YMR138W,YBR284W
YBR284W,YJR090C
YBR284W,YDL238C
YNL047C,YBR270C
YJR091C,YHR057C
YJR091C,YOR114W
YJR091C,YOR097C
YJR091C,YNR071C
YJR091C,YNL092W
YJR091C,YMR187C
YJR091C,YLR413W
YJR091C,YLR156W
YJR091C,YKL224C
YJR091C,YJL107C
YJR091C,YIL174W
YJR091C,YIL060W
YJR091C,YHL026C
YJR091C,YGR294W
YJR091C,YEL075C
YJR091C,YEL070W
YJR091C,YBR184W
YJR091C,YBR074W
YHR057C,YLR373C
YHR057C,YKL023W
YGR155W,YGL081W
YBR055C,YLR446W
YBR057C,YKL098W
YOR047C,YOL131W
YOR047C,YLR446W
YOR047C,YBR270C
YOR047C,YJR011C
YOR111W,YJR125C
YMR052W,YDL133W
YDR398W,YPL216W
YPL070W,YOR155C
YPL070W,YNL331C
YPL070W,YJL218W
YPL070W,YDR502C
YDL070W,YOL131W
YOR329C,YNL092W
YIL105C,YBR270C
YGL237C,YGR146C
YOR355W,YHL046C
YDR078C,YIL152W
YJL141C,YLR241W
YBR103W,YJR141W
YBR103W,YMR155W
YKR048C,YPL150W
YLR264W,YAL018C
YJR117W,YHL042W
YJR117W,YIL171W
YBR017C,YNR069C
YNR069C,YLL049W
YNR069C,YNR068C
YNR069C,YOR299W
YNR069C,YJR011C
YCL055W,YMR147W
YCL055W,YNL196C
YHR158C,YMR181C
YMR181C,YGL229C
YMR181C,YPR105C
YMR181C,YLR295C
YMR181C,YBR087W
YER146W,YFL066C
YDR378C,YLR053C
YDR378C,YOL153C
YNL147W,YFL066C
YLR288C,YOR104W
YLR288C,YOL131W
YLR288C,YLR125W
YLR288C,YKL107W
YLR288C,YJR083C
YLR288C,YCR007C
YKL142W,YMR210W
YIL046W,YBR270C
YBR270C,YLR117C
YBR270C,YKR026C
YBR270C,YHR077C
YBR270C,YFR050C
YBR270C,YDR259C
YBR270C,YER093C
YBR270C,YFL047W
YBR270C,YGR249W
YBR270C,YJL039C
YBR270C,YLR423C
YBR270C,YLR424W
YBR270C,YNL004W
YBR270C,YNL018C
YBR270C,YPL124W
YBR270C,YPL255W
YJL058C,YNL092W
YHR030C,YLR446W
YFL034C-B,YOL036W
YFL034C-B,YIR016W
YOL036W,YBL050W
YOL036W,YLR447C
YOL036W,YBR160W
YOL088C,YLR312C
YLR312C,YMR047C
YPL211W,YJR083C
YKR026C,YER186C
YMR309C,YGL081W
YLR423C,YPL077C
YLR423C,YKL050C
YPR049C,YOL083W
YGR239C,YOR389W
YDL179W,YMR147W
YIR044C,YDR490C
YGR123C,YNL011C
YGR123C,YGL138C
YHL042W,YOR127W
YHL042W,YDR318W
YHL042W,YEL063C
YHL042W,YBR024W
YHL042W,YBR106W
YHL042W,YBR159W
YHL042W,YBR171W
YHL042W,YBR298C
YHL042W,YCR034W
YHL042W,YCR037C
YHL042W,YDL212W
YHL042W,YDR414C
YHL042W,YDR456W
YHL042W,YEL017C-A
YHL042W,YER026C
YHL042W,YFL040W
YHL042W,YFL041W
YHL042W,YGL084C
YHL042W,YGL259W
YHL042W,YGR191W
YHL042W,YGR199W
YHL042W,YHR032W
YHL042W,YIL006W
YHL042W,YIL016W
YHL042W,YJL117W
YHL042W,YJR010C-A
YHL042W,YKL065C
YHL042W,YLR018C
YHL042W,YLR372W
YHL042W,YML048W
YHL042W,YMR264W
YHL042W,YNL003C
YHL042W,YNL329C
YHL042W,YOR016C
YHL042W,YOR254C
YHL042W,YPL076W
YHL042W,YPL265W
